quote,author,original,mood,keywords,hashtags,published,last_used;
Tu as du pouvoir sur ton esprit, pas sur les événements extérieurs. Réalise ceci et tu trouveras la force.,Marc Aurèle,,calm,mind|meditation|nature|calm water,#stoicisme|#marcaurele|#philosophie|#citation|#sagesse|#mindset|#stoic|#quotes|#motivation|#sérénité,0,;
Ce qui n'est pas bon pour la ruche n'est pas bon pour l'abeille.,Marc Aurèle,Quod non est bonum pro alveo non est bonum pro ape.,contemplative,bees|nature|forest|harmony,#stoicisme|#marcaurele|#philosophie|#nature|#sagesse|#latin|#quotes|#collectif|#humanité,0,;
La meilleure vengeance est de ne pas ressembler à ton ennemi.,Marc Aurèle,,calm,sunrise|ocean|peaceful|light,#stoicisme|#marcaurele|#sagesse|#citation|#philosophie|#quotes|#paix|#vengeance|#mindset,0,;
Perds du temps à te plaindre et tu n'en auras plus pour vivre.,Marc Aurèle,,energetic,running|sunrise|mountain|action,#stoicisme|#marcaurele|#motivation|#citation|#mindset|#quotes|#action|#vivre|#philosophie,0,;
L'âme devient ce à quoi on pense.,Marc Aurèle,,contemplative,meditation|candle|stars|mind,#stoicisme|#marcaurele|#méditation|#citation|#philosophie|#quotes|#âme|#pensée|#mindset,0,;
Les obstacles à l'action favorisent l'action. Ce qui est sur la voie devient la voie.,Marc Aurèle,,triumphant,mountain|climbing|obstacle|path,#stoicisme|#marcaurele|#obstacles|#citation|#philosophie|#quotes|#motivation|#résilience|#mindset,0,;
Ne gaspille plus le reste de ta vie en pensées sur les autres.,Marc Aurèle,,energetic,freedom|sky|open road|horizon,#stoicisme|#marcaurele|#liberté|#citation|#philosophie|#quotes|#focus|#mindset|#motivation,0,;
Quand tu te lèves le matin, pense au privilège que c'est d'être vivant, de penser, de te réjouir.,Marc Aurèle,,calm,sunrise|morning|nature|light,#stoicisme|#marcaurele|#gratitude|#citation|#philosophie|#quotes|#matin|#motivation|#mindset,0,;
Si ce n'est pas juste, ne le fais pas. Si ce n'est pas vrai, ne le dis pas.,Marc Aurèle,,calm,calm water|forest|silence|nature,#stoicisme|#marcaurele|#vérité|#citation|#philosophie|#quotes|#justice|#sagesse|#mindset,0,;
Traite chaque moment comme ton dernier.,Marc Aurèle,,contemplative,sunset|horizon|time|candle,#stoicisme|#marcaurele|#carpe diem|#citation|#philosophie|#quotes|#présent|#mindset|#vie,0,;
Ce n'est pas ce qui arrive aux hommes qui les trouble, mais les jugements qu'ils portent sur ce qui leur arrive.,Épictète,,contemplative,meditation|mind|calm|reflection,#stoicisme|#épictète|#philosophie|#citation|#sagesse|#quotes|#mindset|#perception|#stoic,0,;
La liberté n'est pas quelque chose qu'on reçoit, c'est quelque chose qu'on conquiert.,Épictète,,triumphant,eagle|mountain|freedom|sky,#stoicisme|#épictète|#liberté|#citation|#philosophie|#quotes|#motivation|#conquête|#mindset,0,;
Deux mots résument le chemin de la vertu : endure et abstiens-toi.,Épictète,Sustine et abstine.,calm,mountain|storm|strength|stone,#stoicisme|#épictète|#vertu|#citation|#philosophie|#quotes|#latin|#sagesse|#résilience,0,;
Nul ne peut me blesser. Je n'y consens pas.,Épictète,,triumphant,warrior|strength|shield|fire,#stoicisme|#épictète|#force|#citation|#philosophie|#quotes|#résilience|#mindset|#stoic,0,;
La difficulté montre les hommes.,Épictète,,triumphant,storm|mountain|climbing|fire,#stoicisme|#épictète|#difficulté|#citation|#philosophie|#quotes|#force|#défi|#mindset,0,;
Si tu veux progresser, abandonne l'idée de contrôler l'extérieur.,Épictète,,calm,meditation|zen|water|nature,#stoicisme|#épictète|#contrôle|#citation|#philosophie|#quotes|#sagesse|#mindset|#lâcherprise,0,;
Réclame ton droit à penser, car c'est ainsi que tu réclames ton droit à agir.,Épictète,,energetic,brain|light|sunrise|power,#stoicisme|#épictète|#pensée|#citation|#philosophie|#quotes|#liberté|#mindset|#action,0,;
Ce que tu possèdes en trop appartient à quelqu'un qui en manque.,Épictète,,contemplative,nature|sharing|light|hand,#stoicisme|#épictète|#partage|#citation|#philosophie|#quotes|#générosité|#sagesse|#humanité,0,;
Nous souffrons plus en imagination que dans la réalité.,Sénèque,Plus imaginatione quam re laboramus.,contemplative,fog|shadow|mind|dream,#stoicisme|#sénèque|#philosophie|#citation|#sagesse|#quotes|#latin|#peur|#mindset,0,;
Ce n'est pas que nous ayons peu de temps ;" c'est que nous en perdons beaucoup.,Sénèque,""Non exiguum temporis habemus, sed multum perdimus."",energetic,clock|time|hourglass|sunset,#stoicisme|#sénèque|#temps|#citation|#philosophie|#quotes|#latin|#mindset|#productivité,0,"
